OTU_num,control.1,control.2,control.3,control.4,control.5,control.6,control.7,control.8,control.9,control.10,control.11,control.12,control.13,control.14,control.15,control.16,control.17,control.18,control.19,control.20,DSS.1,DSS.2,DSS.3,DSS.4,DSS.5,DSS.6,DSS.7,DSS.8,DSS.9,DSS.10,DSS.11,DSS.12,DSS.13,DSS.14,DSS.15,DSS.16,DSS.17,DSS.18,DSS.19,G75.1,G75.2,G75.3,G75.4,G75.5,G75.6,G75.7,G75.8,G75.9,G75.10,G17.1,G17.2,G17.3,G17.4,G17.5,G17.6,G17.7,G17.8,G17.9,G17.10,Rb1.1,Rb1.2,Rb1.3,Rb1.4,Rb1.5,Rb1.6,Rb1.7,Rb1.8,Rb1.9,Rb1.10,Rg3.1,Rg3.2,Rg3.3,Rg3.4,Rg3.5,Rg3.6,Rg3.7,Rg3.8,Rg3.9,Rg3.10,Rg2.1,Rg2.2,Rg2.3,Rg2.4,Rg2.5,Rg2.6,Rg2.7,Rg2.8,Rg2.9,Rg2.10,D.G75.1,D.G75.2,D.G75.3,D.G75.4,D.G75.5,D.G75.6,D.G75.7,D.G75.8,D.G75.9,D.G17.1,D.G17.2,D.G17.3,D.G17.4,D.G17.5,D.G17.6,D.G17.7,D.G17.8,D.G17.9,D.Rb1.1,D.Rb1.2,D.Rb1.3,D.Rb1.4,D.Rb1.5,D.Rb1.6,D.Rb1.7,D.Rb1.8,D.Rb1.9,D.Rb1.10,D.Rg3.1,D.Rg3.2,D.Rg3.3,D.Rg3.4,D.Rg3.5,D.Rg3.6,D.Rg3.7,D.Rg3.8,D.Rg3.9,D.Rg3.10,D.Rg2.1,D.Rg2.2,D.Rg2.3,D.Rg2.4,D.Rg2.5,D.Rg2.6,D.Rg2.7,D.Rg2.8,D.Rg2.9,D.Rg2.10,Taxonomy
OTU_1,0.195569448,0.073117695,0.120875238,0.173960315,0.113318837,0.340282686,0.347186736,0.143571623,0.288230497,0.495678173,0.162571351,0.201576515,0.316906768,0.624109812,0.203751019,0.494210383,0.338189725,0.295623811,0.253737429,0.632155477,0.015819516,0.011253058,0.020222887,0.015248709,0.027208481,0.085675455,0.023511824,0.017912476,0.018428921,0.108589291,0.071649905,0.179885839,0.323566186,0.08806741,0.151698831,0.125930959,0.018374558,0.074286491,0.070780103,0.631013862,0.424028269,0.286463713,0.487469421,0.55879315,0.304974178,0.068306605,0.110845338,0.080619734,0.057896167,0.316906768,0.124517532,0.128676271,0.304919815,0.381571079,0.066431095,0.03536287,0.043816254,0.029301441,0.029355803,0.35460723,0.250693123,0.11130742,0.456944822,0.374340853,0.10293558,0.048518619,0.16694754,0.07803751,0.02802392,0.364528404,0.178798587,0.181951617,0.036640391,0.030633324,0.090867083,0.188203316,0.165099212,0.166213645,0.054226692,0.12489807,0.058331068,0.336477304,0.124245719,0.025088339,0.190133188,0.03055178,0.050176678,0.047757543,0.073770046,0.050638761,0.047349823,0.344278337,0.305735254,0.08325632,0.099701006,0.066376733,0.327915194,0.085920087,0.050964936,0.243816254,0.045854852,0.369312313,0.221989671,0.020467518,0.097771133,0.236803479,0.054933406,0.373987497,0.339086708,0.118456102,0.010655069,0.174911661,0.050856211,0.176542539,0.012258766,0.17216635,0.03033433,0.034329981,0.235933678,0.065207937,0.014378907,0.163549878,0.006115792,0.015574884,0.007828214,0.038624626,0.007610764,0.121745039,0.367083447,0.016471867,0.003587932,0.022478934,0.004620821,0.040880674,0.031530307,0.248681707,0.006034248,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
OTU_2,0.010709432,0.017912476,0.084914379,0.011524871,0.002690949,0.009594999,0.012204403,0.004267464,0.012041316,0.002147323,0.008616472,0.06422941,0.005925523,0.00396847,0.001141615,0.006550693,0.007692308,0.004022832,0.008861104,0.000679532,0.153628703,0.111443327,0.060967654,0.059092145,0.030008154,0.196547975,0.256890459,0.065371025,0.113291655,0.0347377,0.142430008,0.157026366,0.0928785,0.164582767,0.209703724,0.213264474,0.145419951,0.075863006,0.345256863,0.004729546,0.000135906,0.00293558,2.72E-05,0.000271813,0.000190269,0.001060071,0.010981245,0.000108725,8.15E-05,0,8.15E-05,0.001549334,0,0,0.000407719,0.000298994,0.000163088,0,0,2.72E-05,0,0.002609405,0,2.72E-05,0.000489263,0.00062517,0.000380538,0,0.000271813,0,0.000951345,0.019543354,0.000298994,0.000951345,0.000733895,0.002120141,0.000652351,0.002446317,0.001848328,0.006034248,0.000462082,0.000380538,0.00021745,0.00062517,0.000434901,0.000788258,0.001141615,0.000896983,0.000597989,0.001440609,0.011334602,0.005680892,0.002636586,0.025659147,0.111769503,0.163631422,0.098668116,0.211633596,0.2171514,0.176732808,0.099184561,0.090975809,0.018075564,0.051861919,0.021418864,0.00731177,0.003696657,0.051916282,0.01527589,0.120385974,0.007610764,0.022723566,0.068116336,0.099809731,0.054036423,0.195841261,0.156564284,0.265153574,0.018755096,0.163522696,0.051291112,0.027425931,0.010029899,0.048219625,0.029573254,0.126528948,0.02133732,0.009078554,0.001277521,0.057379723,0.007148682,0.037727643,0.163305246,0.138081,0.170127752,0.145501495,0.243897798,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia
OTU_3,0.000271813,0.00021745,0.000271813,0.000298994,8.15E-05,0.000679532,0.00062517,0.001032889,0.000815439,0.000135906,0.000679532,0.000652351,0.000516445,0.000353357,0.000543626,0.000570807,0.003071487,0.001331884,0.001277521,0.000326176,0.000516445,0.000244632,0.000489263,0.000163088,0.000353357,0.000543626,0.000951345,0.000380538,0.00250068,0.000298994,0.001413428,0.000761076,0.000516445,0.000788258,0,0.001168796,0.000271813,0.000516445,0.001032889,5.44E-05,0.00146779,0.000896983,0.000543626,0.000896983,0.002201685,0.002174504,0.001386246,0.001413428,0.002201685,0.000489263,0.001576515,0.001413428,0.000271813,0.00021745,0.000788258,0.002201685,0.000516445,0.000652351,0.001712422,0.000815439,0.002881218,0.002419136,0.000597989,0.001005708,0.001957054,0.00187551,0.000896983,0.00084262,0.001440609,0.000570807,0.001984235,0.001359065,0.000679532,0.00250068,0.001413428,0.004077195,0.002881218,0.002011416,0.00481109,0.003288937,0.003506388,0.00125034,0.000462082,0.000543626,0.00187551,0.00440337,0.001793966,0.00084262,0.001712422,0.002473498,0.002038597,0.000761076,0.000679532,0.00062517,0.000978527,0.000570807,0.000543626,0.000869802,0.000597989,0.001331884,0.00356075,0.000815439,0.000978527,0.001902691,0.001141615,0.000896983,0.001359065,0.000271813,0.000733895,0.000489263,0.000271813,0.000163088,0.000516445,0.001087252,0.001032889,0.001223158,0.000978527,2.72E-05,0.000163088,0.000896983,0.000298994,0.000271813,0.001984235,0.000353357,0.000597989,0.001494971,0.00250068,0.000271813,0.000407719,0.002065779,8.15E-05,0.001522153,0.001739603,0.002826855,0.001793966,0.002772493,0.005463441,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_4,0.036531666,0.072628432,0.017640663,0.080157652,0.025767872,0.076162001,0.032536015,0.036341397,0.039766241,0.020005436,0.023511824,0.031720576,0.015303071,0.022614841,0.081462354,0.058983419,0.125577603,0.021908127,0.074857298,0.018972547,0.003533569,0.0066866,0.000516445,0.003914107,0.010165806,0.015004077,0.01024735,0.003995651,0.006931231,0.00293558,0.00271813,0.004919815,0.000570807,0.004267464,0.000733895,0.011035608,0.00250068,0.002609405,0.005082903,0.001087252,0.061891818,0.020114161,0.04392498,0.027290024,0.040391411,0.112938298,0.074232128,0.063060614,0.133378635,0.034275618,0.039168252,0.007964121,0.010002718,0.016227236,0.019733623,0.048654526,0.014813808,0.029301441,0.0347377,0.034683338,0.090812721,0.019380266,0.019108453,0.077357978,0.075509649,0.047349823,0.039820603,0.101440609,0.078717043,0.02280511,0.055558576,0.025767872,0.005490622,0.088746942,0.059282414,0.008100027,0.059635771,0.024001087,0.020250068,0.065398206,0.069910302,0.028676271,0.016580593,0.027860832,0.013726556,0.004865453,0.024354444,0.049116608,0.01149769,0.007230226,0.002908399,0.001413428,0.000434901,0.002772493,0.002446317,2.72E-05,0.001929872,0.001658059,0.00062517,0.001630878,0.003207393,0.001304702,0.000380538,0.001766784,0.001277521,2.72E-05,0.002011416,0.00146779,0.000597989,0.00146779,0.000135906,2.72E-05,2.72E-05,2.72E-05,0.000298994,2.72E-05,0,0,2.72E-05,0,0,8.15E-05,2.72E-05,0,0.000353357,0,8.15E-05,0,0.000516445,0,0,0.000326176,0.000570807,0.000271813,0.008100027,0.000190269,0.000108725,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
OTU_5,0.009459092,0.008833922,0.018293014,0.027453112,0.003696657,0.008181571,0.007420495,0.008833922,0.009975537,0.005490622,0.00899701,0.007230226,0.009241642,0.008507747,0.002527861,0.003642294,0.007447676,0.011144333,0.007909758,0.001984235,0.047159554,0.042321283,0.049334058,0.553791791,0.067627073,0.033297092,0.067898886,0.068986138,0.156618646,0.09643925,0.012802392,0.008643653,0.010274531,0.030905137,0.004566458,0.005001359,0.017531938,0.01777657,0.009051373,0.002826855,0.008018483,0.004050014,0.008752378,0.003397662,0.008616472,0.009377548,0.0204947,0.019570535,0.021282957,0.001821147,0.006605056,0.009296004,0.010763795,0.003180212,0.016363142,0.014786627,0.021853765,0.054498505,0.027915194,0.002283229,0.002854036,0.007447676,0.003642294,0.004974178,0.018456102,0.014868171,0.024734982,0.01527589,0.035634683,0.002772493,0.001141615,0.001440609,0.00084262,0.002854036,0.001902691,0.010383256,0.006170155,0.009160098,0.022125578,0.007692308,0.001386246,0.001087252,0.000896983,0.00293558,0.005001359,0.015520522,0.008562109,0.005490622,0.026936668,0.011552052,0.008888285,0.004756727,0.00231041,0.027942376,0.016172873,0.018999728,0.019380266,0.026447404,0.021500408,0.029437347,0.005490622,0.007882577,0.001685241,0.012584942,0.010084262,0.015139984,0.022451753,0.008426203,0.012014134,0.020576244,0.053574341,0.015792335,0.034656157,0.025441696,0.03011688,0.026039685,0.027561837,0.002527861,0.002582223,0.012503398,0.021011144,0.020657787,0.024707801,0.038977983,0.022098396,0.025414515,0.039168252,0.010954064,0.007420495,0.011660777,0.036314216,0.029165534,0.014079913,0.014895352,0.0138081,0.013101386,0.013318837,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
OTU_6,0.019951074,0.087985866,0.032699103,0.008344659,0.058983419,0.012313129,0.027697744,0.015846697,0.007855395,0.006469149,0.003914107,0.008915466,0.012449035,0.003234575,0.027290024,0.008861104,0.00271813,0.003288937,0.001929872,0.00084262,0.020141343,0.030769231,0.211959772,0.004104376,0.027806469,0.040744768,0.010981245,0.012421854,0.006768144,0.006605056,0.001929872,0.006768144,0.014351726,0.000353357,0.002419136,0.00293558,0.003778201,0.001141615,0.00062517,0.002745311,0.003098668,0.040717586,0.009948356,0.025387334,0.008072846,0.013264474,0.017667845,0.005979886,0.008752378,0.004267464,0.006768144,0.011253058,0.028078282,0.014569176,0.006605056,0.006550693,0.073416689,0.006034248,0.007991302,0.004484914,0.001494971,0.005164447,0.011035608,0.005300353,0.004376189,0.002391954,0.007502039,0.001793966,0.002473498,0.009540636,0.033840718,0.071459636,0.051155205,0.015357434,0.005925523,0.008426203,0.009703724,0.035281326,0.014677902,0.003642294,0.004022832,0.004892634,0.012666485,0.004539277,0.013780919,0.005137266,0.006931231,0.003153031,0.008453384,0.001032889,0.078988856,0.046588747,0.234139712,0.076814352,0.015194346,0.022533297,0.037972275,0.012394672,0.041315575,0.007203044,0.009459092,0.010301712,0.100679532,0.007094319,0.003506388,0.024218538,0.005816798,0.004213101,0.04414243,0.002283229,0.00187551,0.015928241,0.00899701,0.026936668,0.020331612,0.003098668,0.018999728,0.023104104,0.006713781,0.006523512,0.002908399,0.010954064,0.00877956,0.005300353,0.005979886,0.005517804,0.012313129,0.105463441,0.083392226,0.076270726,0.001494971,0.026284316,0.045202501,0.008507747,0.009866812,0.009051373,0.029681979,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
OTU_7,0.015031258,0.014460451,0.005816798,0.012313129,0.002854036,0.005327535,0.003506388,0.012014134,0.005055722,0.007148682,0.013346018,0.014079913,0.004783909,0.007801033,0.002854036,0.003017124,0.003017124,0.014922533,0.004919815,0.004457733,0.074177766,0.064338135,0.029872248,0.026094047,0.026963849,0.037265561,0.03577059,0.123729274,0.045909214,0.121799402,0.076433814,0.164501223,0.076515357,0.157162272,0.265099212,0.027507475,0.301304702,0.100924164,0.024245719,0.019652079,0.000652351,0.00356075,0.001685241,0.001440609,0.002473498,0.002174504,0.004158739,0.003207393,0.001821147,0.001929872,0.000516445,0.001549334,0.000815439,0.000706714,0.002120141,0.000896983,0.001494971,0.002174504,0.000652351,0.000761076,0.000761076,0.002120141,0.001821147,0.002120141,0.005762435,0.003044306,0.003071487,0.001984235,0.002201685,0.001440609,0.008534928,0.011959772,0.02196249,0.037537374,0.015602066,0.022315847,0.007230226,0.010084262,0.010192987,0.007964121,0.010138625,0.005218809,0.011280239,0.029763523,0.01527589,0.025332971,0.004376189,0.007175863,0.010981245,0.018537646,0.040636042,0.06610492,0.037646099,0.133460179,0.080864365,0.099891275,0.021527589,0.080375102,0.05376461,0.029056809,0.108045665,0.034574613,0.164039141,0.387550965,0.26988312,0.154063604,0.063876053,0.150584398,0.060750204,0.124408807,0.111035608,0.097716771,0.080918728,0.02071215,0.053818973,0.051508562,0.025332971,0.005843979,0.016091329,0.118782278,0.038189725,0.05104648,0.035933678,0.034574613,0.053818973,0.117178581,0.016798043,0.007203044,0.002120141,0.029845067,0.075835825,0.124626257,0.056645828,0.022016852,0.043571623,0.049551509,0.023973906,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_acidifaciens
OTU_8,0.00356075,0.004131557,0.002391954,0.005599348,0.001087252,0.003071487,0.001658059,0.00565371,0.002609405,0.003098668,0.003533569,0.003914107,0.001766784,0.003234575,0.001304702,0.002473498,0.00187551,0.005354716,0.002908399,0.001848328,0.020549062,0.024734982,0.014243001,0.011823865,0.007991302,0.016716499,0.02196249,0.031204132,0.020576244,0.059282414,0.032454471,0.034547431,0.029763523,0.093829845,0.046751835,0.050693123,0.098722479,0.107203044,0.024300082,0.009649361,0.000462082,0.00146779,0.001141615,0.000869802,0.001195977,0.001494971,0.001386246,0.001359065,0.001549334,0.001141615,8.15E-05,0.000407719,0.000489263,0.000407719,0.000597989,0.000516445,0.000543626,0.000462082,0.000462082,0.000570807,0.000407719,0.001277521,0.001821147,0.001195977,0.001821147,0.001902691,0.001522153,0.000896983,0.000815439,0.000869802,0.003316119,0.003452025,0.007284588,0.009921174,0.004376189,0.002283229,0.002201685,0.002881218,0.002147323,0.003452025,0.004566458,0.003533569,0.006496331,0.006931231,0.006632237,0.003778201,0.001793966,0.003316119,0.004213101,0.061212286,0.042593096,0.051535743,0.067246534,0.110926882,0.058222343,0.01234031,0.009921174,0.025115521,0.018374558,0.023457461,0.008426203,0.025169883,0.030252786,0.012639304,0.064066322,0.021418864,0.008426203,0.016227236,0.006007067,0.018238652,0.063087796,0.023837999,0.023539005,0.017178581,0.009893993,0.026311498,0.035824952,0.064474042,0.054335417,0.130470236,0.021609133,0.131883664,0.040255504,0.015574884,0.008100027,0.014406089,0.010328894,0.017477575,0.004294645,0.014297363,0.006795325,0.014976896,0.01924436,0.014569176,0.003370481,0.004702365,0.012612123,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
OTU_9,0.061783093,0.093558032,0.046996466,0.050095135,0.191138896,0.018129927,0.048817613,0.183854308,0.039385703,0.091383528,0.117178581,0.048382713,0.024707801,0.021201413,0.183854308,0.016961131,0.03577059,0.050883392,0.064664311,0.058956238,0.005001359,0.006577874,0.002337592,0.001005708,0.010328894,0.000733895,0.002881218,0.00543626,0.005789617,0.006170155,0.016798043,0.010546344,0.018238652,0.007610764,0.003642294,0.004539277,0.001494971,0.018510465,0.007556401,0.028757815,0.014541995,0.08597445,0.013971188,0.033514542,0.005979886,0.007583582,0.007366132,0.030252786,0.039086708,0.024762164,0.042022289,0.108344659,0.02739875,0.136123947,0.00774667,0.015004077,0.022669204,0.009377548,0.028187007,0.042565915,0.023837999,0.072302256,0.021147051,0.032671922,0.004512096,0.005952705,0.006822506,0.005762435,0.012231585,0.035063876,0.004104376,0.007012775,0.004865453,0.002337592,0.006659418,0.002147323,0.002989943,0.004321827,0.001766784,0.05585757,0.005490622,0.027915194,0.045936396,0.003452025,0.007203044,0.003017124,0.002038597,0.01465072,0.002337592,0.013318837,0.001060071,0.001766784,0.001658059,0.001168796,0.002908399,0.000407719,0.000516445,0.001277521,0.000407719,0.002473498,0.006115792,0.013318837,0.042076651,0.039902147,0.060532753,0.018129927,0.004022832,0.036694754,0.008752378,0.072356619,0.001168796,0.054906225,0.00731177,0.01171514,0.003696657,0.019353085,0.007855395,0.00940473,0.063821691,0.030850775,0.008480565,0.042239739,0.009513455,0.072845882,0.026719217,0.006605056,0.012041316,0.092851318,0.01505844,0.016662136,0,0.006822506,0.006306061,0.011660777,0.002337592,0.006387605,0.011171514,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_reuteri
OTU_10,5.44E-05,5.44E-05,8.15E-05,2.72E-05,0,0,5.44E-05,2.72E-05,5.44E-05,8.15E-05,5.44E-05,0,0.000298994,0.000271813,5.44E-05,0,2.72E-05,5.44E-05,0.000353357,2.72E-05,0.000163088,0,8.15E-05,0,0,0,0.000135906,5.44E-05,8.15E-05,2.72E-05,0,0,0,5.44E-05,0.000244632,5.44E-05,5.44E-05,0,8.15E-05,0,0.000108725,8.15E-05,0.00021745,2.72E-05,0.00021745,0,5.44E-05,0.000135906,0.000652351,0.000380538,8.15E-05,8.15E-05,0.000108725,0,0,2.72E-05,2.72E-05,8.15E-05,0.000163088,8.15E-05,5.44E-05,0.000108725,5.44E-05,0,0,0,5.44E-05,8.15E-05,0.000108725,8.15E-05,5.44E-05,0.000163088,2.72E-05,2.72E-05,5.44E-05,0.000135906,5.44E-05,5.44E-05,8.15E-05,5.44E-05,8.15E-05,0.000108725,2.72E-05,2.72E-05,0.00021745,0.000489263,0.000244632,0.000489263,0.000163088,0,0.000407719,0,5.44E-05,0,5.44E-05,0.000326176,8.15E-05,2.72E-05,2.72E-05,2.72E-05,0.000135906,2.72E-05,0,0.000135906,2.72E-05,2.72E-05,2.72E-05,0,2.72E-05,0,0.000135906,0,5.44E-05,0,8.15E-05,0.000135906,0.000135906,5.44E-05,0,2.72E-05,2.72E-05,5.44E-05,0.00021745,5.44E-05,0,0,0.000244632,0,0,0,8.15E-05,0,5.44E-05,0,0.000516445,0,2.72E-05,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
